"","AdultHeadBodyLen_mm","AdultBodyMass_g","LitterSize","GR_Area_km2","ActivityCycle","TrophicLevel","HabitatBreadth","DietBreadth","Order","Family","Genus","Species"
"Camelus_dromedarius",NA,492714.47,0.98,NA,"diurnal","herbivore","1","3","Artiodactyla","Camelidae","Camelus","dromedarius"
"Canis_adustus",745.32,10392.49,4.5,10581413.14,"nocturnal","omnivore","1","6","Carnivora","Canidae","Canis","adustus"
"Canis_aureus",827.53,9658.7,3.74,25739527.43,"other","omnivore","1","6","Carnivora","Canidae","Canis","aureus"
"Canis_latrans",872.39,11989.1,5.72,17099094.3,"other","carnivore","1","1","Carnivora","Canidae","Canis","latrans"
"Canis_lupus",1055,31756.51,4.98,50803439.7,"other","carnivore","1","1","Carnivora","Canidae","Canis","lupus"
"Bos_frontalis",2700,800143.05,1.22,2294331.63,"other","herbivore",NA,"3","Artiodactyla","Bovidae","Bos","frontalis"
"Bos_grunniens",NA,5e+05,1,1523540.07,NA,"herbivore",NA,"2","Artiodactyla","Bovidae","Bos","grunniens"
"Bos_javanicus",2075,635974.34,1.22,1687920.66,"other","herbivore","1","2","Artiodactyla","Bovidae","Bos","javanicus"
"Callicebus_cupreus",354.99,1117.02,1.01,690923.14,"diurnal",NA,"1",NA,"Primates","Pitheciidae","Callicebus","cupreus"
"Callicebus_discolor",NA,NA,NA,NA,NA,NA,NA,NA,"Primates","Pitheciidae","Callicebus","discolor"
"Callicebus_donacophilus",NA,897.67,1.02,288759.02,"diurnal",NA,"1",NA,"Primates","Pitheciidae","Callicebus","donacophilus"
"Callicebus_dubius",NA,992.4,1.02,NA,"diurnal",NA,"1",NA,"Primates","Pitheciidae","Callicebus","dubius"
"Callicebus_hoffmannsi",NA,1067.61,1.02,98076.46,"diurnal",NA,"1",NA,"Primates","Pitheciidae","Callicebus","hoffmannsi"
"Callicebus_lucifer",NA,NA,NA,NA,NA,NA,NA,NA,"Primates","Pitheciidae","Callicebus","lucifer"
"Callicebus_lugens",NA,NA,NA,NA,NA,NA,NA,NA,"Primates","Pitheciidae","Callicebus","lugens"
"Callicebus_medemi",NA,NA,NA,36587.57,NA,NA,NA,NA,"Primates","Pitheciidae","Callicebus","medemi"
"Callicebus_melanochir",NA,NA,NA,60497.71,NA,NA,NA,NA,"Primates","Pitheciidae","Callicebus","melanochir"
"Callicebus_modestus",NA,992.4,1.02,17288.42,"diurnal",NA,"1",NA,"Primates","Pitheciidae","Callicebus","modestus"
"Caluromys_derbianus",231,326.72,3.14,678553.48,"nocturnal","omnivore","1","3","Didelphimorphia","Didelphidae","Caluromys","derbianus"
"Caluromys_lanatus",273.3,350.33,NA,3683731.12,"nocturnal","omnivore","2","4","Didelphimorphia","Didelphidae","Caluromys","lanatus"
"Caluromys_philander",224.27,246.47,4.18,3212264.13,"nocturnal","omnivore","2","4","Didelphimorphia","Didelphidae","Caluromys","philander"
"Caluromysiops_irrupta",234.52,257.48,2,188864.44,"nocturnal","omnivore","1","3","Didelphimorphia","Didelphidae","Caluromysiops","irrupta"
"Calyptophractus_retusus",157.5,129.99,NA,1081453.8,NA,"omnivore","2","4","Cingulata","Dasypodidae","Calyptophractus","retusus"
"Camelus_bactrianus",NA,554515.91,1.39,188693,NA,"herbivore","1","2","Artiodactyla","Camelidae","Camelus","bactrianus"
"Bos_sauveli",2175,791321.76,NA,115557.18,"other","herbivore","1","2","Artiodactyla","Bovidae","Bos","sauveli"
"Bos_taurus",NA,618642.42,NA,44447.62,NA,NA,NA,NA,"Artiodactyla","Bovidae","Bos","taurus"
"Boselaphus_tragocamelus",2000,182253.04,1.39,2192564.81,NA,"herbivore",NA,"5","Artiodactyla","Bovidae","Boselaphus","tragocamelus"
"Brachiones_przewalskii",NA,NA,NA,940177.9,NA,NA,NA,NA,"Rodentia","Muridae","Brachiones","przewalskii"
"Canis_mesomelas",707.27,8247.3,3.89,6248779.95,"other","omnivore","1","6","Carnivora","Canidae","Canis","mesomelas"
"Canis_simensis",938.19,14361.86,NA,11402.81,"diurnal","carnivore","1","1","Carnivora","Canidae","Canis","simensis"
"Cannomys_badius",NA,472.07,2,818286,NA,NA,NA,NA,"Rodentia","Spalacidae","Cannomys","badius"
"Cansumys_canus",NA,NA,NA,267130.76,NA,NA,NA,NA,"Rodentia","Cricetidae","Cansumys","canus"
"Caperea_marginata",NA,31999999.98,0.98,NA,NA,NA,NA,NA,"Cetacea","Neobalaenidae","Caperea","marginata"
"Capra_caucasica",NA,58149.52,1.09,32781.87,NA,NA,NA,NA,"Artiodactyla","Bovidae","Capra","caucasica"
"Capra_falconeri",1590,54303.37,1.73,155075.85,"diurnal","herbivore","1","2","Artiodactyla","Bovidae","Capra","falconeri"
"Capra_hircus",NA,47386.47,1.45,NA,NA,"herbivore",NA,"2","Artiodactyla","Bovidae","Capra","hircus"
"Capra_ibex",NA,69546.83,1.11,145098.13,NA,"herbivore","1","2","Artiodactyla","Bovidae","Capra","ibex"
"Atelerix_algirus",214.76,903.98,2.5,815329.89,"nocturnal","omnivore",NA,"3","Erinaceomorpha","Erinaceidae","Atelerix","algirus"
"Atelerix_frontalis",181.82,329.12,4.99,1497998.13,"nocturnal","omnivore","1","6","Erinaceomorpha","Erinaceidae","Atelerix","frontalis"
"Atelerix_sclateri",129.99,NA,NA,198274.28,"nocturnal",NA,NA,NA,"Erinaceomorpha","Erinaceidae","Atelerix","sclateri"
"Ateles_belzebuth",459.3,6692.42,1.02,1030364.23,"diurnal","herbivore","1","2","Primates","Atelidae","Ateles","belzebuth"
"Ateles_chamek",454.28,7053.92,NA,990902.31,"diurnal","herbivore","1","2","Primates","Atelidae","Ateles","chamek"
"Ateles_fusciceps",489.15,9067.94,1.01,201579.73,"diurnal","herbivore","1","2","Primates","Atelidae","Ateles","fusciceps"
"Ateles_geoffroyi",433.07,7582.4,1.01,806609.19,"diurnal","herbivore","1","2","Primates","Atelidae","Ateles","geoffroyi"
"Ateles_hybridus",NA,NA,NA,144643.82,NA,NA,NA,NA,"Primates","Atelidae","Ateles","hybridus"
"Ateles_marginatus",460.27,6229.28,NA,831855.4,"diurnal","herbivore","1","2","Primates","Atelidae","Ateles","marginatus"
"Ateles_paniscus",575.96,8697.25,1,892635.1,"diurnal","omnivore","1","6","Primates","Atelidae","Ateles","paniscus"
"Callicebus_moloch",358.65,958.13,1.01,911442.78,"diurnal","omnivore","1","3","Primates","Pitheciidae","Callicebus","moloch"
"Callicebus_nigrifrons",NA,NA,NA,513267.9,NA,NA,NA,NA,"Primates","Pitheciidae","Callicebus","nigrifrons"
"Callicebus_oenanthe",NA,992.4,1.02,5807.21,"diurnal",NA,"1",NA,"Primates","Pitheciidae","Callicebus","oenanthe"
"Callicebus_olallae",NA,992.4,1.02,17288.42,"diurnal",NA,"1",NA,"Primates","Pitheciidae","Callicebus","olallae"
"Callicebus_ornatus",NA,NA,NA,23066.97,NA,NA,NA,NA,"Primates","Pitheciidae","Callicebus","ornatus"
"Callicebus_pallescens",NA,NA,NA,93328.33,NA,NA,NA,NA,"Primates","Pitheciidae","Callicebus","pallescens"
"Callicebus_personatus",362.49,1390.8,1.01,172664.46,"diurnal","herbivore","1","4","Primates","Pitheciidae","Callicebus","personatus"
"Callicebus_purinus",NA,NA,NA,NA,NA,NA,NA,NA,"Primates","Pitheciidae","Callicebus","purinus"
"Callicebus_regulus",NA,NA,NA,NA,NA,NA,NA,NA,"Primates","Pitheciidae","Callicebus","regulus"
"Callicebus_stephennashi",NA,NA,NA,NA,NA,NA,NA,NA,"Primates","Pitheciidae","Callicebus","stephennashi"
"Callicebus_torquatus",294.99,1209.57,1.01,NA,"diurnal","omnivore","1","4","Primates","Pitheciidae","Callicebus","torquatus"
"Callimico_goeldii",280,558,1.05,462922.05,"diurnal","omnivore","1","2","Primates","Cebidae","Callimico","goeldii"
"Callistomys_pictus",NA,518.99,NA,37773.91,NA,NA,NA,NA,"Rodentia","Echimyidae","Callistomys","pictus"
"Callithrix_acariensis",NA,NA,NA,79622.42,NA,NA,NA,NA,"Primates","Cebidae","Callithrix","acariensis"
"Callithrix_argentata",NA,382.92,1.84,123514,"diurnal","omnivore","1","4","Primates","Cebidae","Callithrix","argentata"
"Callithrix_aurita",239.99,386.2,2,87653.49,"diurnal","omnivore","1","3","Primates","Cebidae","Callithrix","aurita"
"Callithrix_chrysoleuca",NA,NA,NA,60733.28,"diurnal",NA,NA,NA,"Primates","Cebidae","Callithrix","chrysoleuca"
"Callithrix_emiliae",NA,309.58,NA,160568.97,NA,NA,NA,NA,"Primates","Cebidae","Callithrix","emiliae"
"Callithrix_flaviceps",239.99,372.97,2,27330.89,"diurnal","omnivore","1","3","Primates","Cebidae","Callithrix","flaviceps"
"Callithrix_geoffroyi",NA,342,NA,132745.3,"diurnal",NA,"1",NA,"Primates","Cebidae","Callithrix","geoffroyi"
"Callithrix_humeralifera",NA,374.99,NA,129628,"diurnal","omnivore","1","4","Primates","Cebidae","Callithrix","humeralifera"
"Callithrix_humilis",NA,NA,NA,21239.49,NA,NA,NA,NA,"Primates","Cebidae","Callithrix","humilis"
"Callithrix_intermedia",NA,NA,2,73178.5,"diurnal",NA,NA,NA,"Primates","Cebidae","Callithrix","intermedia"
"Callithrix_jacchus",NA,290.21,2.31,604264.4,"diurnal","omnivore","1","5","Primates","Cebidae","Callithrix","jacchus"
"Callithrix_kuhlii",NA,374.99,NA,34583.88,"diurnal","omnivore","1","4","Primates","Cebidae","Callithrix","kuhlii"
"Callithrix_leucippe",NA,NA,NA,14616.07,"diurnal",NA,NA,NA,"Primates","Cebidae","Callithrix","leucippe"
"Callithrix_manicorensis",NA,NA,NA,18875.99,NA,NA,NA,NA,"Primates","Cebidae","Callithrix","manicorensis"
"Callithrix_marcai",NA,NA,NA,44500.24,NA,NA,NA,NA,"Primates","Cebidae","Callithrix","marcai"
"Callithrix_mauesi",NA,443.79,NA,2038.88,NA,"omnivore","1","4","Primates","Cebidae","Callithrix","mauesi"
"Callithrix_melanura",NA,NA,NA,543620.62,NA,NA,NA,NA,"Primates","Cebidae","Callithrix","melanura"
"Callithrix_nigriceps",NA,401.12,2,24958.88,"diurnal","omnivore","1","4","Primates","Cebidae","Callithrix","nigriceps"
"Callithrix_penicillata",NA,339.98,2,1325473.3,"diurnal",NA,"1",NA,"Primates","Cebidae","Callithrix","penicillata"
"Callithrix_pygmaea",154.6,123.94,1.93,1508925.87,"diurnal","omnivore","1","3","Primates","Cebidae","Callithrix","pygmaea"
"Callithrix_saterei",NA,NA,NA,18742.81,"diurnal",NA,NA,NA,"Primates","Cebidae","Callithrix","saterei"
"Callorhinus_ursinus",1734.82,55464.82,1.04,NA,"other","omnivore","2","6","Carnivora","Otariidae","Callorhinus","ursinus"
"Callosciurus_adamsi",203.5,208.72,1.94,30384.46,"diurnal","omnivore","1","6","Rodentia","Sciuridae","Callosciurus","adamsi"
"Callosciurus_albescens",NA,NA,NA,432350.65,NA,NA,NA,NA,"Rodentia","Sciuridae","Callosciurus","albescens"
"Callosciurus_baluensis",203.5,323.91,3,20853.19,"diurnal","omnivore","1","6","Rodentia","Sciuridae","Callosciurus","baluensis"
"Callosciurus_caniceps",211.08,264.91,2.19,420861.69,NA,NA,"1",NA,"Rodentia","Sciuridae","Callosciurus","caniceps"
"Callosciurus_erythraeus",211.93,283.23,1.94,2354368.13,NA,"herbivore","1","3","Rodentia","Sciuridae","Callosciurus","erythraeus"
"Callosciurus_finlaysonii",NA,NA,NA,723854.08,NA,NA,"1",NA,"Rodentia","Sciuridae","Callosciurus","finlaysonii"
"Callosciurus_inornatus",NA,NA,NA,235249.21,NA,NA,NA,NA,"Rodentia","Sciuridae","Callosciurus","inornatus"
"Callosciurus_melanogaster",213,296,NA,5140.87,"diurnal","omnivore","2","4","Rodentia","Sciuridae","Callosciurus","melanogaster"
"Callosciurus_nigrovittatus",203.5,208.3,2.36,1450546.42,"diurnal","omnivore","1","6","Rodentia","Sciuridae","Callosciurus","nigrovittatus"
"Callosciurus_notatus",203.5,209.49,2.62,1474469.76,"diurnal","omnivore","1","6","Rodentia","Sciuridae","Callosciurus","notatus"
"Callosciurus_orestes",203.5,323.91,3,35107.14,"diurnal","omnivore","1","6","Rodentia","Sciuridae","Callosciurus","orestes"
"Callosciurus_phayrei",NA,NA,NA,99941.58,NA,NA,NA,NA,"Rodentia","Sciuridae","Callosciurus","phayrei"
"Callosciurus_prevostii",247,400,1.29,1315342.19,"diurnal","omnivore","1","6","Rodentia","Sciuridae","Callosciurus","prevostii"
"Callosciurus_pygerythrus",NA,NA,NA,503627.21,NA,NA,"1",NA,"Rodentia","Sciuridae","Callosciurus","pygerythrus"
"Callosciurus_quinquestriatus",NA,NA,NA,21108.92,NA,NA,NA,NA,"Rodentia","Sciuridae","Callosciurus","quinquestriatus"
"Calomys_boliviae",NA,27,NA,108148.2,NA,NA,NA,NA,"Rodentia","Cricetidae","Calomys","boliviae"
"Calomys_callidus",NA,27,NA,NA,NA,NA,NA,NA,"Rodentia","Cricetidae","Calomys","callidus"
"Calomys_callosus",NA,44.95,4.91,NA,NA,NA,"2",NA,"Rodentia","Cricetidae","Calomys","callosus"
"Calomys_expulsus",NA,39.86,NA,NA,NA,NA,NA,NA,"Rodentia","Cricetidae","Calomys","expulsus"
"Calomys_hummelincki",NA,27,NA,333859.81,"nocturnal",NA,"1",NA,"Rodentia","Cricetidae","Calomys","hummelincki"
"Calomys_laucha",NA,14,5.3,1239274,NA,"omnivore","2","3","Rodentia","Cricetidae","Calomys","laucha"
"Calomys_lepidus",NA,20.59,4.29,593465.1,NA,NA,"1",NA,"Rodentia","Cricetidae","Calomys","lepidus"
"Calomys_musculinus",NA,20.2,6.27,869814.79,NA,"omnivore","1","3","Rodentia","Cricetidae","Calomys","musculinus"
"Calomys_sorellus",NA,20,NA,205439.89,NA,NA,NA,NA,"Rodentia","Cricetidae","Calomys","sorellus"
"Calomys_tener",69.2,13.8,NA,915351.64,NA,NA,NA,NA,"Rodentia","Cricetidae","Calomys","tener"
"Calomys_tocantinsi",NA,NA,NA,NA,NA,NA,NA,NA,"Rodentia","Cricetidae","Calomys","tocantinsi"
"Calomys_venustus",NA,49.33,NA,NA,NA,NA,NA,NA,"Rodentia","Cricetidae","Calomys","venustus"
"Calomyscus_bailwardi",NA,21.38,4,102086.07,NA,NA,NA,NA,"Rodentia","Calomyscidae","Calomyscus","bailwardi"
"Calomyscus_baluchi",NA,NA,NA,29169.13,NA,NA,NA,NA,"Rodentia","Calomyscidae","Calomyscus","baluchi"
"Calomyscus_elburzensis",NA,NA,NA,204039.71,NA,NA,NA,NA,"Rodentia","Calomyscidae","Calomyscus","elburzensis"
"Calomyscus_grandis",NA,NA,NA,NA,NA,NA,NA,NA,"Rodentia","Calomyscidae","Calomyscus","grandis"
"Calomyscus_hotsoni",NA,NA,NA,231.5,NA,NA,NA,NA,"Rodentia","Calomyscidae","Calomyscus","hotsoni"
"Calomyscus_mystax",NA,NA,4.99,NA,NA,NA,NA,NA,"Rodentia","Calomyscidae","Calomyscus","mystax"
"Calomyscus_tsolovi",NA,NA,NA,6.78,NA,NA,NA,NA,"Rodentia","Calomyscidae","Calomyscus","tsolovi"
"Calomyscus_urartensis",NA,NA,NA,5580.24,NA,NA,NA,NA,"Rodentia","Calomyscidae","Calomyscus","urartensis"
"Caloprymnus_campestris",NA,927.57,1,NA,"nocturnal",NA,NA,NA,"Diprotodontia","Potoroidae","Caloprymnus","campestris"
"Atelocynus_microtis",831.01,8363.22,NA,7634256.6,NA,"carnivore","1","1","Carnivora","Canidae","Atelocynus","microtis"
"Atherurus_africanus",430.99,2875.65,1.5,5140711.56,"nocturnal","omnivore","2","5","Rodentia","Hystricidae","Atherurus","africanus"
"Atherurus_macrourus",NA,2000,1.5,2597040.51,"nocturnal","omnivore","2","5","Rodentia","Hystricidae","Atherurus","macrourus"
"Atilax_paludinosus",499.01,3600.16,2,14296320.45,"other","omnivore","2","6","Carnivora","Herpestidae","Atilax","paludinosus"
"Atlantoxerus_getulus",189.1,250.57,NA,179364.26,NA,NA,NA,NA,"Rodentia","Sciuridae","Atlantoxerus","getulus"
"Auliscomys_boliviensis",NA,70.91,3.4,207032.77,"diurnal",NA,"1",NA,"Rodentia","Cricetidae","Auliscomys","boliviensis"
"Auliscomys_pictus",NA,48.97,NA,309321.99,NA,NA,NA,NA,"Rodentia","Cricetidae","Auliscomys","pictus"
"Auliscomys_sublimis",NA,38,NA,497531.43,NA,NA,"1",NA,"Rodentia","Cricetidae","Auliscomys","sublimis"
"Avahi_laniger",275,1092.28,1.01,85075.49,"nocturnal","herbivore","2","3","Primates","Indriidae","Avahi","laniger"
"Avahi_occidentalis",NA,828.98,1.02,7563.78,"other","herbivore","1","1","Primates","Indriidae","Avahi","occidentalis"
"Avahi_unicolor",NA,NA,NA,2508.24,NA,NA,NA,NA,"Primates","Indriidae","Avahi","unicolor"
"Axis_axis",NA,69499.99,1.01,2041090.04,NA,NA,NA,NA,"Artiodactyla","Cervidae","Axis","axis"
"Axis_calamianensis",1387.44,39812.6,2,1345.4,"diurnal",NA,NA,NA,"Artiodactyla","Cervidae","Axis","calamianensis"
"Axis_kuhlii",1375,54999.99,1.22,197.86,"diurnal","herbivore",NA,"2","Artiodactyla","Cervidae","Axis","kuhlii"
"Axis_porcinus",NA,37448.29,1,2017514.05,NA,"herbivore",NA,"3","Artiodactyla","Cervidae","Axis","porcinus"
"Babyrousa_babyrussa",950,92950.09,1.73,13309.7,"diurnal","omnivore","1","6","Artiodactyla","Suidae","Babyrousa","babyrussa"
"Babyrousa_bolabatuensis",NA,NA,NA,NA,NA,NA,NA,NA,"Artiodactyla","Suidae","Babyrousa","bolabatuensis"
"Babyrousa_celebensis",NA,NA,NA,47657.62,NA,NA,NA,NA,"Artiodactyla","Suidae","Babyrousa","celebensis"
"Balaenoptera_musculus",30480,154321304.5,1,NA,NA,"carnivore","1","1","Cetacea","Balaenopteridae","Balaenoptera","musculus"
"Balaenoptera_physalus",20641.06,47506008.23,1.01,NA,NA,"carnivore","1","2","Cetacea","Balaenopteridae","Balaenoptera","physalus"
"Balantiopteryx_infusca",NA,NA,NA,68801.56,"nocturnal",NA,"1",NA,"Chiroptera","Emballonuridae","Balantiopteryx","infusca"
"Balantiopteryx_io",40.2,3.97,1,211758.21,"nocturnal",NA,"1",NA,"Chiroptera","Emballonuridae","Balantiopteryx","io"
"Balantiopteryx_plicata",NA,6.57,0.99,841946.43,"nocturnal","carnivore","1","1","Chiroptera","Emballonuridae","Balantiopteryx","plicata"
"Balionycteris_maculata",NA,14.43,1,870187.37,NA,"herbivore","1","1","Chiroptera","Pteropodidae","Balionycteris","maculata"
"Bandicota_bengalensis",NA,226.99,7.29,3698085.54,NA,NA,NA,NA,"Rodentia","Muridae","Bandicota","bengalensis"
"Bandicota_indica",NA,583.09,6.12,6308602.34,NA,NA,NA,NA,"Rodentia","Muridae","Bandicota","indica"
"Cephalophus_niger",1041.8,19094.32,1,726891.4,NA,"omnivore","1","7","Artiodactyla","Bovidae","Cephalophus","niger"
"Cephalophus_nigrifrons",944.21,14676.33,NA,2766201.07,"other","herbivore","1","4","Artiodactyla","Bovidae","Cephalophus","nigrifrons"
"Cephalophus_ogilbyi",1000,18386.42,1,231511.16,"diurnal",NA,NA,NA,"Artiodactyla","Bovidae","Cephalophus","ogilbyi"
"Cephalophus_rufilatus",650,12114.57,1,3098970.49,"diurnal","omnivore","1","5","Artiodactyla","Bovidae","Cephalophus","rufilatus"
"Cephalophus_silvicultor",1324.76,62006.6,1,6018051.89,"other","omnivore","1","5","Artiodactyla","Bovidae","Cephalophus","silvicultor"
"Cephalophus_spadix",1174.48,56857.02,NA,36583.37,"nocturnal","herbivore","1","3","Artiodactyla","Bovidae","Cephalophus","spadix"
"Cephalophus_weynsi",NA,NA,NA,1692834.41,NA,NA,NA,NA,"Artiodactyla","Bovidae","Cephalophus","weynsi"
"Cephalophus_zebra",874.99,15654.75,1,171546.51,NA,"omnivore","1","3","Artiodactyla","Bovidae","Cephalophus","zebra"
"Cephalorhynchus_commersonii",NA,72400,0.98,NA,NA,"carnivore","1","1","Cetacea","Delphinidae","Cephalorhynchus","commersonii"
"Cephalorhynchus_eutropia",NA,45000,0.97,NA,NA,"carnivore","1","1","Cetacea","Delphinidae","Cephalorhynchus","eutropia"
"Cephalorhynchus_heavisidii",NA,39999.99,0.97,NA,NA,NA,"1",NA,"Cetacea","Delphinidae","Cephalorhynchus","heavisidii"
"Cephalorhynchus_hectori",NA,49999.99,1,NA,"diurnal","carnivore","1","1","Cetacea","Delphinidae","Cephalorhynchus","hectori"
"Ceratotherium_simum",2586.81,2285939.43,1,3184467.13,"other","herbivore","1","1","Perissodactyla","Rhinocerotidae","Ceratotherium","simum"
"Cercartetus_caudatus",97.97,23.05,2.37,221311.97,"nocturnal","omnivore","3","3","Diprotodontia","Burramyidae","Cercartetus","caudatus"
"Cercartetus_concinnus",NA,15.96,4.6,611282.88,"nocturnal",NA,"2",NA,"Diprotodontia","Burramyidae","Cercartetus","concinnus"
"Cercartetus_lepidus",NA,8.03,3.33,93697.61,"nocturnal","omnivore","2","2","Diprotodontia","Burramyidae","Cercartetus","lepidus"
"Cercartetus_nanus",NA,26.85,3.96,378748.79,"nocturnal","omnivore","2","4","Diprotodontia","Burramyidae","Cercartetus","nanus"
"Cercocebus_agilis",NA,7105.62,NA,1068616.42,"diurnal",NA,NA,NA,"Primates","Cercopithecidae","Cercocebus","agilis"
"Cercocebus_atys",NA,6941.24,1.01,440620.58,"diurnal",NA,NA,NA,"Primates","Cercopithecidae","Cercocebus","atys"
"Cercocebus_chrysogaster",NA,NA,NA,564761.67,NA,NA,NA,NA,"Primates","Cercopithecidae","Cercocebus","chrysogaster"
"Cercocebus_galeritus",510,7077.66,1.01,20246.09,"diurnal","herbivore","2","2","Primates","Cercopithecidae","Cercocebus","galeritus"
"Cercocebus_sanjei",NA,NA,NA,59607.49,NA,NA,NA,NA,"Primates","Cercopithecidae","Cercocebus","sanjei"
"Cercocebus_torquatus",660,7293.07,1.01,362869.59,"diurnal","herbivore",NA,"1","Primates","Cercopithecidae","Cercocebus","torquatus"
"Cercopithecus_albogularis",NA,NA,1.02,1057710.32,"diurnal","omnivore",NA,"4","Primates","Cercopithecidae","Cercopithecus","albogularis"
"Cercopithecus_ascanius",444.99,3540.24,1.01,3012180.23,"diurnal","omnivore",NA,"4","Primates","Cercopithecidae","Cercopithecus","ascanius"
"Cercopithecus_campbelli",455,3627.73,1.02,262404.57,"diurnal","herbivore",NA,"3","Primates","Cercopithecidae","Cercopithecus","campbelli"
"Cercopithecus_cephus",520,3444.88,1.01,898367.43,"diurnal","omnivore","1","3","Primates","Cercopithecidae","Cercopithecus","cephus"
"Cercopithecus_denti",NA,NA,1.02,402606.02,"diurnal",NA,NA,NA,"Primates","Cercopithecidae","Cercopithecus","denti"
"Cercopithecus_diana",470,4358.91,1.01,177249.87,"diurnal","omnivore",NA,"3","Primates","Cercopithecidae","Cercopithecus","diana"
"Cercopithecus_doggetti",NA,NA,NA,53746.06,NA,NA,NA,NA,"Primates","Cercopithecidae","Cercopithecus","doggetti"
"Cercopithecus_dryas",NA,2784.06,1.02,151925.19,"diurnal",NA,NA,NA,"Primates","Cercopithecidae","Cercopithecus","dryas"
"Cercopithecus_erythrogaster",457.49,3444.88,1.02,102343.83,"diurnal","omnivore","1","2","Primates","Cercopithecidae","Cercopithecus","erythrogaster"
"Cercopithecus_erythrotis",435,3254.98,1.02,87403.19,"diurnal","omnivore","1","2","Primates","Cercopithecidae","Cercopithecus","erythrotis"
"Cercopithecus_hamlyni",NA,NA,NA,328372.58,NA,NA,NA,NA,"Primates","Cercopithecidae","Cercopithecus","hamlyni"
"Cercopithecus_kandti",NA,NA,NA,18131.24,NA,NA,NA,NA,"Primates","Cercopithecidae","Cercopithecus","kandti"
"Cercopithecus_lhoesti",510,5307.47,1,451166.22,"diurnal","omnivore",NA,"3","Primates","Cercopithecidae","Cercopithecus","lhoesti"
"Cercopithecus_lowei",NA,NA,NA,271410.7,NA,NA,NA,NA,"Primates","Cercopithecidae","Cercopithecus","lowei"
"Cercopithecus_mitis",575,5041.29,1,2341818.13,"diurnal","omnivore",NA,"4","Primates","Cercopithecidae","Cercopithecus","mitis"
"Cercopithecus_mona",510,3980.17,1,652362.31,"diurnal",NA,NA,NA,"Primates","Cercopithecidae","Cercopithecus","mona"
"Cercopithecus_neglectus",510,5324.52,1.02,2963266.5,"diurnal","omnivore","2","3","Primates","Cercopithecidae","Cercopithecus","neglectus"
"Cercopithecus_nictitans",549.99,5256.91,1,2185668.95,"diurnal","omnivore","1","4","Primates","Cercopithecidae","Cercopithecus","nictitans"
"Cercopithecus_petaurista",410,3233.67,1.02,619437.28,"diurnal",NA,NA,NA,"Primates","Cercopithecidae","Cercopithecus","petaurista"
"Cercopithecus_pogonias",459.99,3578.27,1.01,1592652.96,"diurnal","omnivore","1","3","Primates","Cercopithecidae","Cercopithecus","pogonias"
"Cercopithecus_preussi",545,5132.57,1.02,60552.81,"diurnal","omnivore",NA,"4","Primates","Cercopithecidae","Cercopithecus","preussi"
"Cercopithecus_roloway",NA,NA,NA,136280.67,NA,NA,NA,NA,"Primates","Cercopithecidae","Cercopithecus","roloway"
"Cercopithecus_sclateri",NA,3067.29,1.02,30025.23,"diurnal",NA,NA,NA,"Primates","Cercopithecidae","Cercopithecus","sclateri"
"Cercopithecus_solatus",NA,5256.91,1.01,14715.81,"diurnal",NA,NA,NA,"Primates","Cercopithecidae","Cercopithecus","solatus"
"Cercopithecus_wolfi",480,3255.18,1.02,1419828.69,"diurnal",NA,NA,NA,"Primates","Cercopithecidae","Cercopithecus","wolfi"
"Cerdocyon_thous",648.06,5741.66,3.09,7091683.41,"nocturnal","omnivore","1","7","Carnivora","Canidae","Cerdocyon","thous"
"Cervus_elaphus",2136.72,240867.13,1.09,14167735.33,"other","herbivore","1","5","Artiodactyla","Cervidae","Cervus","elaphus"
"Cervus_nippon",1200.51,52999.99,1,2714652.61,"other","herbivore","1","2","Artiodactyla","Cervidae","Cervus","nippon"
"Chaerephon_aloysiisabaudiae",NA,NA,NA,686927.63,NA,NA,"1",NA,"Chiroptera","Molossidae","Chaerephon","aloysiisabaudiae"
"Chaerephon_ansorgei",NA,NA,NA,5163213.18,NA,NA,"1",NA,"Chiroptera","Molossidae","Chaerephon","ansorgei"
"Chaerephon_bemmeleni",NA,NA,NA,3206708.09,NA,NA,"1",NA,"Chiroptera","Molossidae","Chaerephon","bemmeleni"
"Chaerephon_bivittatus",NA,15.42,NA,3573026.75,NA,NA,"1",NA,"Chiroptera","Molossidae","Chaerephon","bivittatus"
"Chaerephon_bregullae",NA,NA,NA,10238.58,NA,NA,NA,NA,"Chiroptera","Molossidae","Chaerephon","bregullae"
"Chaerephon_chapini",NA,NA,NA,1035410.19,NA,NA,"1",NA,"Chiroptera","Molossidae","Chaerephon","chapini"
"Chaerephon_gallagheri",NA,NA,NA,3529.03,NA,NA,"1",NA,"Chiroptera","Molossidae","Chaerephon","gallagheri"
"Chaerephon_jobensis",NA,20.71,NA,2825882.53,NA,"carnivore","1","1","Chiroptera","Molossidae","Chaerephon","jobensis"
"Chaerephon_johorensis",NA,NA,NA,24699.24,NA,"carnivore","1","1","Chiroptera","Molossidae","Chaerephon","johorensis"
"Chaerephon_leucogaster",NA,NA,NA,6151633.14,NA,NA,NA,NA,"Chiroptera","Molossidae","Chaerephon","leucogaster"
"Chaerephon_major",NA,15.17,1,4903108.69,NA,NA,"1",NA,"Chiroptera","Molossidae","Chaerephon","major"
"Chaerephon_nigeriae",NA,20.14,NA,6732376.9,NA,NA,"1",NA,"Chiroptera","Molossidae","Chaerephon","nigeriae"
